"Ranking","Names","Influence","WeiboURLs","Icons","Shortbio"
1,"谢娜",98.49,"http://weibo.com/u/1192329374","http://tp3.sinaimg.cn/1192329374/180/5732418223/0","我正在开心的听 @Karen莫文蔚 和 @张杰 杰哥在台上聊天，没想到突然被点名啦还上镜啦<f0><U+009F><U+0098><U+009D>[害羞][嘘][熊猫] [兔子] http://t.cn/Ryo32co ."
2,"邓超",96.55,"http://weibo.com/u/5187664653","http://tp2.sinaimg.cn/5187664653/180/40058043651/1","觉得等等帅的请转发，觉得我帅的请评论，觉得我把等等秒成渣的请点赞！"
3,"王思聪",91.99,"http://weibo.com/u/1826792401","http://tp2.sinaimg.cn/1826792401/180/5718070704/1","业界良心 netflix"
4,"Happy张江",91.44,"http://weibo.com/u/2709577332","http://tp1.sinaimg.cn/2709577332/180/5734583466/0","转起，祝大家中秋快乐[心]"
5,"何炅",90.71,"http://weibo.com/u/1195230310","http://tp3.sinaimg.cn/1195230310/180/5732123974/1","中秋快乐！今晚四大才子和嫦娥陪你，约吗？"
6,"郑恺",88.72,"http://weibo.com/u/1275280670","http://tp3.sinaimg.cn/1275280670/180/5686210904/1","杀青快乐！"
7,"张杰",87.84,"http://weibo.com/u/1241148864","http://tp1.sinaimg.cn/1241148864/180/5723010967/1","今天和 @Karen莫文蔚 第一次唱这首【一念之间】，天后的现场太好听，有幸见证巡演内地首场的大成功，也提前祝你们结婚纪念日快乐[心]"
8,"贾乃亮",87.56,"http://weibo.com/u/1214435497","http://tp2.sinaimg.cn/1214435497/180/5730792728/1","我携我的老大和祖宗祝大家中秋节快乐<f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00B6><f0><U+009F><U+008F><U+00BF><f0><U+009F><U+0091><U+00A9><f0><U+009F><U+008F><U+00BF>"
9,"TFBOYS-王源",87.36,"http://weibo.com/u/2812335943","http://tp4.sinaimg.cn/2812335943/180/40070408028/1","“游啊游，我的仰泳姿势还不错吧[酷]，视频是胖虎拍的，其实我觉得他更该锻炼下[嘻嘻]”我的秒拍作品，一起来看~http://t.cn/RyK4NqN（使用#秒拍#录制）"
10,"TFBOYS-易烊千玺",86.66,"http://weibo.com/u/3623353053","http://tp2.sinaimg.cn/3623353053/180/40070379558/1","Is that true…yes…okey dokey yo! Say La x 11"
11,"猪猪爱讲冷笑话",85.8,"http://weibo.com/u/2150182731","http://tp4.sinaimg.cn/2150182731/180/5613586011/1","你喜欢的人眼中的你，把我看哭了！[泪]"
12,"艾克里里",85.79,"http://weibo.com/u/2477339061","http://tp2.sinaimg.cn/2477339061/180/5737955525/1","在家可以三天三夜不拉S ！！！每一次!!!!!every time!!!!出个门就肠胃不好要拉肚子！为什么广州的地铁站没有厕所啊啊啊啊啊啊啊啊啊为什么街上的商店都没有厕所啊啊啊啊啊啊啊啊，你们难道不用拉S吗！！！告诉我你们在哪里拉！！！为何每次这种状况，就满世界找不到厕所！！！厕所都炸了吗啊啊啊啊啊啊"
13,"刘烨",85.68,"http://weibo.com/u/3125046087","http://tp4.sinaimg.cn/3125046087/180/5736338705/1","最后一期录制结束了，宝贝趴在我旁边睡了，结束了，嘤嘤嘤，火华社的亲们，表让社长孤独<f0><U+009F><U+0098><U+00A2>"
14,"井柏然",85.5,"http://weibo.com/u/1289997621","http://tp2.sinaimg.cn/1289997621/180/5704728539/1","#手写微博#"
15,"赵薇",85.26,"http://weibo.com/u/1656809190","http://tp3.sinaimg.cn/1656809190/180/5721742159/0","生日快乐[蛋糕][蛋糕][蛋糕][鲜花][鲜花][鲜花] //@一号立井:我们也是今生相伴的朋友[微笑] //@⒓瘟:生日快[蛋糕] //@一号立井:必定相伴今生 谢谢[微笑]"
16,"嘴巴笑抽筋了",84.93,"http://weibo.com/u/2655485361","http://tp2.sinaimg.cn/2655485361/180/40050952069/1","一看就是亲生的系列 [笑cry][笑cry]"
17,"angelababy",84.38,"http://weibo.com/u/1642351362","http://tp3.sinaimg.cn/1642351362/180/5728706692/0","我给大家摘月亮，抓玉兔去了。[酷] 等我。中秋快乐！他们失联了[汗]"
18,"赵丽颖",84.1,"http://weibo.com/u/1259110474","http://tp3.sinaimg.cn/1259110474/180/5729082546/0","这才是真爱～[doge]虽然感觉后宫佳丽三千要打翻醋坛子…但是在这花好月圆的日子，老婆们都要乖一些哈～不要浮想联翩[挖鼻]祝大家中秋节快乐！[心]"
19,"任志强",83.88,"http://weibo.com/u/1182389073","http://tp2.sinaimg.cn/1182389073/180/5736491410/1","？"
20,"刘亦菲",83.75,"http://weibo.com/u/3261134763","http://tp4.sinaimg.cn/3261134763/180/5658651117/0","这家媒体朋友真的太可爱了 @香港文RW 您的想象力好丰富可以直接当编剧了 您并不是断章取义 而是一个字都没有用我说的 出于对电影的尊重 电影宣传期我将不再回应任何电影以外的话题 希望大家更多的关注电影 感恩！晚安[haha]"
