sequence_number,US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,Freq,last_update_days_ago,1st_update_days_ago,Web.order,Gender.male,Address_is_res,Purchase,Spending,Partition
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3662,3662,1,0,1,1,128,s
3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3883,3914,0,0,0,1,127,t
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3215,3215,0,0,0,1,174,v
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1465,1465,0,0,1,1,192,s
21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2943,2984,1,0,0,1,386,s
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1463,1486,0,0,1,1,174,t
26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2460,2732,1,0,0,1,189,t
29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3299,3299,0,0,0,1,90,v
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2947,3171,1,0,0,1,352,v
44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,868,3138,1,0,1,1,639,t
49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1786,1822,0,0,0,1,41,t
53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,106,3573,1,0,0,1,1030,t
57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1856,2424,0,0,1,1,362,t
58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2212,2212,0,0,0,1,95,s
66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1835,2926,1,0,0,1,80,t
71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3716,3716,0,0,1,1,298,v
79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2859,2859,1,0,0,1,161,s
82,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2862,2906,0,0,0,1,129,s
84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3698,3698,1,0,0,1,98,t
86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2962,3243,1,0,0,1,132,v
87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,841,1162,1,0,1,1,158,v
89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,458,3944,1,0,0,1,248,t
90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1269,1269,1,0,0,1,277,v
96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2548,2548,1,0,0,1,230,t
100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,822,1850,1,0,1,1,287,s
106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2807,2807,1,0,0,1,405,s
115,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1128,3791,1,0,1,1,404,t
119,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,1,114,v
123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1154,1154,0,0,1,1,205,v
129,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,785,814,1,0,0,1,206,t
132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,617,3548,0,0,0,1,356,s
133,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3009,3009,0,0,1,1,129,v
146,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1109,1109,0,0,0,1,21,v
147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2268,3791,0,0,0,1,605,v
148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1147,1147,1,0,0,1,164,t
149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2425,3914,0,0,0,1,130,s
150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2296,2296,0,0,0,1,161,t
152,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1016,1030,1,0,0,1,451,s
159,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3074,3145,1,0,0,1,163,t
164,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2632,2632,1,0,0,1,140,v
166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3543,3556,0,0,0,1,129,t
170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,969,974,0,0,1,1,43,s
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,364,364,1,0,0,1,249,t
178,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890,1890,1,0,0,1,77,t
180,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2347,3276,0,0,0,1,219,v
182,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3772,3822,1,0,0,1,149,v
183,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3583,3622,1,0,0,1,140,v
187,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1689,1800,0,0,1,1,108,t
191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1906,3521,1,0,0,1,50,s
192,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2408,2408,1,0,0,1,54,v
194,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2947,2947,0,0,0,1,80,v
204,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,583,594,0,0,0,1,412,s
208,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3270,3270,1,0,0,1,153,s
210,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1567,1567,1,0,0,1,32,v
211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2404,4036,1,0,0,1,187,t
212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,906,906,0,0,0,1,80,t
213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1577,1589,1,0,0,1,277,s
217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,511,1815,1,0,0,1,268,t
221,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2201,2558,0,0,0,1,164,v
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,583,1060,1,0,0,1,69,v
227,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2081,2081,1,0,1,1,130,s
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2541,2541,0,0,0,1,174,s
229,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2205,3390,0,0,0,1,36,v
232,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2996,2996,1,0,0,1,184,v
233,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1701,1701,0,0,0,1,110,t
235,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2802,2834,1,0,0,1,130,s
236,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1946,1946,1,0,0,1,130,s
246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,772,772,0,0,0,1,80,s
247,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2194,2506,0,0,1,1,161,v
250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2080,2109,1,0,1,1,35,s
253,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,962,2905,0,0,0,1,141,v
260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,58,1,0,0,1,99,t
262,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2960,2999,0,0,0,1,130,s
263,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1882,3883,1,0,0,1,210,v
265,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2163,2228,0,0,0,1,107,t
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1683,1683,0,0,0,1,85,s
268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,304,311,1,0,0,1,303,t
269,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1134,3566,1,0,0,1,271,t
270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1361,1361,0,0,0,1,1250,t
271,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1204,1262,0,0,0,1,81,t
272,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4065,4065,0,0,0,1,32,v
280,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1879,1953,0,0,0,1,164,t
282,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1786,1835,1,0,0,1,95,t
283,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1129,2348,0,0,0,1,280,t
284,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1899,2233,0,0,1,1,166,s
286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1162,1162,1,0,1,1,164,s
288,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2478,2478,0,0,0,1,136,t
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1130,1147,0,0,0,1,309,v
292,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2891,3166,1,0,1,1,143,t
293,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2599,2599,1,0,0,1,130,v
297,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,283,640,0,0,0,1,405,s
299,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3025,3025,1,0,0,1,153,v
300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1175,2299,0,0,0,1,44,s
302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2767,2767,1,0,0,1,124,t
303,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1690,1690,0,0,0,1,90,v
304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1666,1666,0,0,0,1,165,v
305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2793,2793,1,0,0,1,170,v
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1290,1290,0,0,0,1,112,v
309,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1626,1626,0,0,0,1,165,v
310,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1968,1968,1,0,0,1,255,t
311,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2305,3745,1,0,0,1,60,t
313,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,526,1779,1,0,1,1,427,t
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,408,2604,0,0,1,1,188,v
320,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3398,3522,1,0,0,1,192,v
321,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3479,3975,0,0,1,1,189,v
327,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1582,1603,1,0,1,1,3,v
331,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2758,2758,1,0,0,1,161,t
341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,916,919,1,0,1,1,43,t
344,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1864,1864,0,0,0,1,30,v
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,295,302,0,0,0,1,164,t
355,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1134,3464,0,0,1,1,314,v
369,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2016,2424,1,0,0,1,1353,t
371,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3146,3146,1,0,0,1,10,t
374,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3248,3248,0,0,1,1,132,t
378,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2201,2254,0,0,0,1,99,v
379,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2529,2529,1,0,0,1,35,t
381,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3283,3306,1,0,0,1,128,s
384,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,479,2578,0,0,0,1,459,t
388,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2072,2102,0,0,0,1,105,t
391,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3278,3278,1,0,0,1,153,t
394,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3583,4188,0,0,0,1,205,v
407,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,1,114,t
409,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,906,906,1,0,1,1,141,v
410,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1498,1536,1,0,1,1,40,v
412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2744,2758,1,0,0,1,86,t
420,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,247,2361,0,0,0,1,324,v
424,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1122,3791,0,0,0,1,274,t
425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1137,3125,0,0,1,1,287,v
428,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3125,3125,1,0,0,1,103,t
431,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,216,3125,1,0,0,1,134,t
437,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1130,1779,0,0,0,1,252,s
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1612,1612,0,0,0,1,43,t
439,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1568,2935,1,0,0,1,344,v
447,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2249,2249,0,0,0,1,54,v
450,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890,2361,0,0,0,1,85,t
454,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2772,2772,1,0,0,1,135,v
455,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1261,2137,0,0,0,1,44,v
457,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3590,4005,1,0,0,1,116,s
458,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1120,3157,1,0,1,1,172,v
459,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1570,3746,1,0,0,1,104,v
461,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2977,2978,0,0,0,1,70,t
462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,458,583,1,0,0,1,271,v
467,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2991,2991,1,0,1,1,184,v
471,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,0,0,1,161,t
476,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2999,2999,1,0,0,1,34,t
481,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,301,1036,0,0,0,1,1249,t
487,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,113,113,1,0,0,1,308,v
488,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1653,1934,1,0,1,1,192,t
492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1976,2129,0,0,0,1,43,v
493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,240,2900,0,0,1,1,588,t
494,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2481,3654,1,0,0,1,160,s
496,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2812,3944,0,0,0,1,183,t
498,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2052,2837,0,0,0,1,200,s
499,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2746,3047,1,0,1,1,182,v
511,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3020,3020,1,0,0,1,129,t
518,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3718,3718,0,0,0,1,98,v
519,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1379,1400,0,0,1,1,63,v
522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,206,206,1,0,0,1,264,t
526,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1792,1792,1,0,0,1,167,s
528,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2607,2607,1,0,0,1,6,t
533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,17,1,0,0,1,94,s
541,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1995,2009,1,0,1,1,243,s
545,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3027,3027,1,0,0,1,96,v
553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,519,1890,1,0,0,1,585,t
555,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2142,2145,0,0,1,1,174,v
556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,597,597,1,0,0,1,240,s
559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1168,1168,1,0,0,1,40,s
562,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1995,2024,1,0,1,1,117,v
567,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2872,3312,1,0,0,1,122,t
568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1795,1795,0,0,0,1,230,v
569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,581,581,1,0,0,1,331,v
578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1646,1717,1,0,1,1,130,s
579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2564,2564,0,0,0,1,130,s
580,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3374,3374,1,0,1,1,128,v
582,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1134,3125,1,0,0,1,406,v
586,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3642,3642,0,0,0,1,129,v
587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,260,1038,0,0,1,1,135,t
588,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3914,4005,0,0,1,1,581,s
589,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3521,3521,0,0,0,1,53,s
590,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1850,1899,0,0,0,1,35,t
592,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2257,2257,1,0,0,1,91,t
597,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2445,2445,1,0,1,1,35,v
602,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3199,3199,1,0,0,1,159,s
603,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2781,2781,1,0,0,1,130,t
612,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2962,3131,0,0,0,1,136,s
618,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,520,3944,1,0,0,1,1195,v
621,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1491,1491,0,0,0,1,57,t
623,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,717,717,1,0,0,1,30,s
624,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3740,3760,0,0,0,1,98,v
627,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3213,3222,1,0,1,1,34,s
628,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1554,1554,0,0,0,1,277,t
649,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3381,3381,1,0,0,1,98,t
650,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3158,3158,0,0,0,1,34,t
665,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,490,2017,1,0,0,1,276,v
667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2487,2487,1,0,0,1,163,s
676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1017,1017,0,0,0,1,197,v
681,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2807,3683,1,0,1,1,239,t
682,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3041,3041,1,0,0,1,30,v
